IDs	KO	pathway_A	order	Gene	Comment/Uniprot comment
ID17325	K12029	no_pathway		TRIM60_61; tripartite motif-containing protein 60/61	
ID17326	K12030	no_pathway		TRIM62; tripartite motif-containing protein 62 [EC:2.3.2.27]	
ID17327	K10655	no_pathway		"TRIM63, MURF1; tripartite motif-containing protein 63 [EC:2.3.2.27]"	
ID17328	K12031	no_pathway		TRIM65; tripartite motif-containing protein 65	
ID17329	K12032	no_pathway		TRIM66; tripartite motif-containing protein 66	
ID17330	K12033	no_pathway		TRIM68; tripartite motif-containing protein 68 [EC:2.3.2.27]	
ID17331	K12034	no_pathway		TRIM69; tripartite motif-containing protein 69 [EC:2.3.2.27]	
ID17332	K12000	no_pathway		TRIM7; tripartite motif-containing protein 7	
ID17333	K12036	no_pathway		TRIM72; tripartite motif-containing protein 72	
ID17334	K12037	no_pathway		TRIM75; tripartite motif-containing protein 75	
ID17335	K12001	no_pathway		TRIM8; tripartite motif-containing protein 8 [EC:2.3.2.27]	
ID17336	K10649	no_pathway		TRIM9_67; tripartite motif-containing protein 9/67	
ID17337	K12038	no_pathway		TRIML1; tripartite motif family-like protein 1	
ID17338	K12039	no_pathway		TRIML2; tripartite motif family-like protein 2	
ID17339	K08810	no_pathway		TRIO; triple functional domain protein [EC:2.7.11.1]	
ID17340	K23751	no_pathway		TRIOBP; TRIO and F-actin-binding protein	
ID17341	K23368	no_pathway		TRIP11; thyroid receptor-interacting protein 11	
ID17342	K22399	no_pathway		TRIP13; pachytene checkpoint protein 2	
ID17343	K23398	no_pathway		TRIP4; activating signal cointegrator 1	
ID17344	K01149	no_pathway		TRIR; telomerase RNA component interacting RNase [EC:3.1.13.-]	
ID17345	K22792	no_pathway		TrissinR; trissin receptor	
ID17346	K14679	no_pathway		TRL1; tRNA ligase [EC:6.5.1.3]	
ID17347	K03709	no_pathway		"troR; DtxR family transcriptional regulator, Mn-dependent transcriptional regulator"	
ID17348	K04965	no_pathway		TRPC2; transient receptor potential cation channel subfamily C member 2	
ID17349	K11796	no_pathway		TRPC4AP; Trpc4-associated protein	
ID17350	K04970	no_pathway		TRPC7; transient receptor potential cation channel subfamily C member 7	
ID17351	K07802	no_pathway		trpL; trp operon leader peptide	
ID17352	K04976	no_pathway		TRPM1; transient receptor potential cation channel subfamily M member 1	
ID17353	K04978	no_pathway		TRPM3; transient receptor potential cation channel subfamily M member 3	
ID17354	K15436	no_pathway		"TRPO3, MTR10; transportin-3"	
ID17355	K03720	no_pathway		"trpR; TrpR family transcriptional regulator, trp operon repressor"	
ID17356	K22040	no_pathway		TRPS1; atypical GATA-binding protein TRPS1	
ID17357	K10669	no_pathway		"TRPT1, TPT1; 2'-phosphotransferase [EC:2.7.1.160]"	
ID17358	K20311	no_pathway		TRS65; trafficking protein particle complex II-specific subunit 65	
ID17359	K23497	no_pathway		TRUB2; mitochondrial mRNA pseudouridine synthase TRUB2 [EC:5.4.99.-]	
ID17360	K15324	no_pathway		TSEN15; tRNA-splicing endonuclease subunit Sen15	
ID17361	K15322	no_pathway		TSEN2; tRNA-splicing endonuclease subunit Sen2 [EC:4.6.1.16]	
ID17362	K15323	no_pathway		TSEN34; tRNA-splicing endonuclease subunit Sen34 [EC:4.6.1.16]	
ID17363	K15326	no_pathway		TSEN54; tRNA-splicing endonuclease subunit Sen54	
ID17364	K06141	no_pathway		"tsgA; MFS transporter, TsgA protein"	
ID17365	K08130	no_pathway		"TSK, LRRC54; tsukushi (leucine-rich repeat-containing protein 54)"	
ID17366	K16492	no_pathway		TSKS; testis-specific serine kinase substrate	
ID17367	K13814	no_pathway		TSNARE1; t-SNARE domain-containing protein 1	
ID17368	K07288	no_pathway		tspA; uncharacterized membrane protein	
ID17369	K17348	no_pathway		TSPAN1; tetraspanin-1	
ID17370	K17351	no_pathway		TSPAN10; tetraspanin-10	
ID17371	K17352	no_pathway		TSPAN11; tetraspanin-11	
ID17372	K17355	no_pathway		TSPAN12; tetraspanin-12	
ID17373	K17356	no_pathway		TSPAN13_31; tetraspanin-13/31	
ID17374	K17296	no_pathway		TSPAN14; tetraspanin-14	
ID17375	K17297	no_pathway		TSPAN15; tetraspanin-15	
ID17376	K17357	no_pathway		TSPAN16; tetraspanin-16	
ID17377	K17353	no_pathway		TSPAN18; tetraspanin-18	
ID17378	K17358	no_pathway		TSPAN19; tetraspanin-19	
ID17379	K17354	no_pathway		TSPAN2; tetraspanin-2	
ID17380	K17293	no_pathway		TSPAN3; tetraspanin-3	
ID17381	K17359	no_pathway		TSPAN32; tetraspanin-32	
ID17382	K17346	no_pathway		TSPAN33; tetraspanin-33	
ID17383	K17294	no_pathway		TSPAN4; tetraspanin-4	
ID17384	K17345	no_pathway		TSPAN5; tetraspanin-5	
ID17385	K17295	no_pathway		TSPAN6; tetraspanin-6	
ID17386	K17349	no_pathway		TSPAN8; tetraspanin-8	
ID17387	K17350	no_pathway		TSPAN9; tetraspanin-9	
ID17388	K11284	no_pathway		TSPYL1; TSPY-like 1	
ID17389	K11285	no_pathway		"TSPYL2, CINAP, DENTT; TSPY-like 2"	
ID17390	K11286	no_pathway		TSPYL3; TSPY-like 3	
ID17391	K11287	no_pathway		TSPYL4; TSPY-like 4	
ID17392	K11288	no_pathway		TSPYL5; TSPY-like 5	
ID17393	K11289	no_pathway		TSPYL6; TSPY-like 6	
ID17394	K14799	no_pathway		TSR1; pre-rRNA-processing protein TSR1	
ID17395	K14800	no_pathway		TSR2; pre-rRNA-processing protein TSR2	
ID17396	K14801	no_pathway		TSR4; pre-rRNA-processing protein TSR4	
ID17397	K21551	no_pathway		tsrM; tryptophan 2-C-methyltransferase [EC:2.1.1.106]	
ID17398	K08811	no_pathway		"TSSK, STK22; testis-specific serine kinase [EC:2.7.11.1]"	
ID17399	K01013	no_pathway		TSTD1; thiosulfate:glutathione sulfurtransferase [EC:2.8.1.-]	
ID17400	K05517	no_pathway		tsx; nucleoside-specific channel-forming protein	
ID17401	K08815	no_pathway		TTBK; tau tubulin kinase [EC:2.7.11.26]	
ID17402	K18169	no_pathway		"TTC19; tetratricopeptide repeat protein 19, mitochondrial"	
ID17403	K19673	no_pathway		"TTC21B, IFT139; tetratricopeptide repeat protein 21B"	
ID17404	K19685	no_pathway		"TTC26, IFT56, DYF13; intraflagellar transport protein 56"	
ID17405	K15712	no_pathway		TTC3; E3 ubiquitin-protein ligase TTC3 [EC:2.3.2.27]	
ID17406	K19683	no_pathway		"TTC30, DYF1; tetratricopeptide repeat protein 30"	
ID17407	K21843	no_pathway		TTC7; tetratricopeptide repeat protein 7	
ID17408	K16781	no_pathway		"TTC8, BBS8; tetratricopeptide repeat protein 8"	
ID17409	K21742	no_pathway		"ttdR; LysR family transcriptional regulator, transcriptional activator for ttdABT operon"	
ID17410	K23115	no_pathway		TTI2; TELO2-interacting protein 2	
ID17411	K06047	no_pathway		TTL; tubulin---tyrosine ligase [EC:6.3.2.25]	
ID17412	K16599	no_pathway		TTLL1; tubulin polyglutamylase TTLL1 [EC:6.-.-.-]	
ID17413	K23628	no_pathway		TTLL10; tubulin--tyrosine ligase like protein 10	
ID17414	K16604	no_pathway		TTLL11; tubulin polyglutamylase TTLL11 [EC:6.-.-.-]	
ID17415	K16609	no_pathway		TTLL12; tubulin--tyrosine ligase-like protein 12	
ID17416	K16610	no_pathway		TTLL15; tubulin monoglycylase TTLL15	
ID17417	K16600	no_pathway		TTLL2; tubulin polyglutamylase TTLL2 [EC:6.-.-.-]	
ID17418	K16608	no_pathway		TTLL3_8; tubulin monoglycylase TTLL3/8 [EC:6.3.2.-]	
ID17419	K16601	no_pathway		TTLL4; tubulin polyglutamylase TTLL4 [EC:6.-.-.-]	
ID17420	K16602	no_pathway		"TTLL5, TTLL10; tubulin polyglutamylase TTLL5 [EC:6.-.-.-]"	
ID17421	K16582	no_pathway		TTLL6_13; tubulin polyglutamylase TTLL6/13 [EC:6.-.-.-]	
ID17422	K16583	no_pathway		TTLL7; tubulin polyglutamylase TTLL7 [EC:6.-.-.-]	
ID17423	K16603	no_pathway		TTLL9; tubulin polyglutamylase TTLL9 [EC:6.-.-.-]	
ID17424	K22918	no_pathway		ttsA; typhoid toxin secretion A	
ID17425	K13021	no_pathway		"ttuB; MFS transporter, ACS family, tartrate transporter"	
ID17426	K22641	no_pathway		TTYH; protein tweety	
ID17427	K16697	no_pathway		tuaC; teichuronic acid biosynthesis glycosyltransferase TuaC [EC:2.4.-.-]	
ID17428	K16705	no_pathway		tuaE; teichuronic acid biosynthesis protein TuaE	
ID17429	K16706	no_pathway		tuaF; teichuronic acid biosynthesis protein TuaF	
ID17430	K16698	no_pathway		tuaG; teichuronic acid biosynthesis glycosyltransferase TuaG [EC:2.4.-.-]	
ID17431	K16699	no_pathway		tuaH; teichuronic acid biosynthesis glycosyltransferase TuaH [EC:2.4.-.-]	
ID17432	K10390	no_pathway		TUBD; tubulin delta	
ID17433	K10391	no_pathway		TUBE; tubulin epsilon	
ID17434	K16569	no_pathway		"TUBGCP2, GCP2; gamma-tubulin complex component 2"	
ID17435	K16570	no_pathway		"TUBGCP3, GCP3; gamma-tubulin complex component 3"	
ID17436	K16571	no_pathway		"TUBGCP4, GCP4; gamma-tubulin complex component 4"	
ID17437	K16572	no_pathway		"TUBGCP5, GCP5; gamma-tubulin complex component 5"	
ID17438	K16573	no_pathway		"TUBGCP6, GCP6; gamma-tubulin complex component 6"	
ID17439	K23788	no_pathway		"TUL1, FLY1_2; transmembrane E3 ubiquitin-protein ligase [EC:2.3.2.27]"	
ID17440	K19600	no_pathway		TULP1; tubby-related protein 1	
ID17441	K10748	no_pathway		"tus, tau; DNA replication terminus site-binding protein"	
ID17442	K13291	no_pathway		TUT; terminal uridylyltransferase [EC:2.7.7.52]	
ID17443	K18709	no_pathway		TUT1; speckle targeted PIP5K1A-regulated poly(A) polymerase [EC:2.7.7.19 2.7.7.52]	
ID17444	K03318	no_pathway		tutB; tyrosine permease	
ID17445	K22914	no_pathway		tviA; Vi polysaccharide biosynthesis protein TviA	
ID17446	K22915	no_pathway		tviD; Vi polysaccharide biosynthesis protein TviD	
ID17447	K22916	no_pathway		"tviE, vipC; Vi polysaccharide biosynthesis protein TviE"	
ID17448	K08870	no_pathway		TWF; twinfilin	
ID17449	K09104	no_pathway		TX; delilah	
ID17450	K09585	no_pathway		TXNDC10; thioredoxin domain-containing protein 10 [EC:5.3.4.1]	
ID17451	K18219	no_pathway		"txr; sigma-54 dependent transcriptional regulator, tetracycline resistant transcriptional regulator"	
ID17452	K20845	no_pathway		"txyA; endo-1,3-beta-xylanase [EC:3.2.1.32]"	
ID17453	K09074	no_pathway		TYE7; fungal twist-like factor	
ID17454	K05116	no_pathway		"TYRO3, RSE; TYRO3 protein tyrosine kinase 3 [EC:2.7.10.1]"	
ID17455	K03721	no_pathway		"tyrR; transcriptional regulator of aroF, aroG, tyrA and aromatic amino acid transport"	
ID17456	K22791	no_pathway		TyrR; tyramine receptor	
ID17457	K23012	no_pathway		TYSND1; peroxisomal leader peptide-processing protease [EC:3.4.21.-]	
ID17458	K22871	no_pathway		tzs; adenylate dimethylallyltransferase [EC:2.5.1.27]	
ID17459	K14865	no_pathway		"U14snoRNA, snR128; U14 small nucleolar RNA"	
ID17460	K14908	no_pathway		"U17snoRNA, E1, snR30; U17 small nucleolar RNA"	
ID17461	K14866	no_pathway		"U18snoRNA, snR18; U18 small nucleolar RNA"	
ID17462	K14867	no_pathway		"U24snoRNA, snR24; U24 small nucleolar RNA"	
ID17463	K15223	no_pathway		"UAF30, SPP27; upstream activation factor subunit UAF30"	
ID17464	K23887	no_pathway		UAPA_C; uric acid-xanthine permease	
ID17465	K12164	no_pathway		"UBA5, UBE1DC1; ubiquitin-like modifier-activating enzyme 5"	
ID17466	K18993	no_pathway		"UBASH3, STS; ubiquitin-associated and SH3 domain-containing protein [EC:3.1.3.48]"	
ID17467	K12157	no_pathway		"UBD, FAT10; ubiquitin D"	
ID17468	K20803	no_pathway		UBE3D; ubiquitin-protein ligase E3 D [EC:2.3.2.26]	
ID17469	K21370	no_pathway		UBGAT; baicalein 7-O-glucuronosyltransferase [EC:2.4.1.253]	
ID17470	K00810	no_pathway		UBIAD1; menadiol prenyltransferase [EC:2.5.1.-]	
ID17471	K03688	no_pathway		"ubiB, aarF; ubiquinone biosynthesis protein"	
ID17472	K03690	no_pathway		ubiJ; ubiquinone biosynthesis protein UbiJ	
ID17473	K23388	no_pathway		"UBL4A, GET5; ubiquitin-like protein 4A"	
ID17474	K17618	no_pathway		UBLCP1; ubiquitin-like domain-containing CTD phosphatase 1 [EC:3.1.3.16]	
ID17475	K17492	no_pathway		UBN; ubinuclein	
ID17476	K11870	no_pathway		UBP1; ubiquitin carboxyl-terminal hydrolase 1 [EC:3.4.19.12]	
ID17477	K11873	no_pathway		UBP10; ubiquitin carboxyl-terminal hydrolase 10 [EC:3.4.19.12]	
ID17478	K11874	no_pathway		UBP16; ubiquitin carboxyl-terminal hydrolase 16 [EC:3.4.19.12]	
ID17479	K11871	no_pathway		UBP7_11; ubiquitin carboxyl-terminal hydrolase 7/11 [EC:3.4.19.12]	
ID17480	K11872	no_pathway		UBP9_13; ubiquitin carboxyl-terminal hydrolase 9/13 [EC:3.4.19.12]	
ID17481	K22254	no_pathway		UBQLNL; ubiquilin-like protein	
ID17482	K10625	no_pathway		UBR1; E3 ubiquitin-protein ligase UBR1 [EC:2.3.2.27]	
ID17483	K10626	no_pathway		UBR2; E3 ubiquitin-protein ligase UBR2 [EC:2.3.2.27]	
ID17484	K11978	no_pathway		UBR3; E3 ubiquitin-protein ligase UBR3 [EC:2.3.2.27]	
ID17485	K11979	no_pathway		UBR7; E3 ubiquitin-protein ligase UBR7 [EC:2.3.2.27]	
ID17486	K09273	no_pathway		UBTF; upstream-binding transcription factor	
ID17487	K05609	no_pathway		"UCHL3, YUH1; ubiquitin carboxyl-terminal hydrolase L3 [EC:3.4.19.12]"	
ID17488	K05610	no_pathway		"UCHL5, UCH37; ubiquitin carboxyl-terminal hydrolase L5 [EC:3.4.19.12]"	
ID17489	K15103	no_pathway		"UCP2_3, SLC25A8_9; solute carrier family 25 (mitochondrial uncoupling protein), member 8/9"	
ID17490	K18702	no_pathway		uctC; CoA:oxalate CoA-transferase [EC:2.8.3.19]	
ID17491	K10861	no_pathway		"UDG2, CCNO; uracil-DNA glycosylase 2 [EC:3.2.2.-]"	
ID17492	K12165	no_pathway		UFC1; ufm1-conjugating enzyme 1	
ID17493	K22755	no_pathway		UFL1; E3 UFM1-protein ligase 1 [EC:2.3.2.-]	
ID17494	K12162	no_pathway		UFM1; ubiquitin-fold modifier 1	
ID17495	K15073	no_pathway		UFO1; ubiquitin ligase complex F-box protein UFO1	
ID17496	K01376	no_pathway		UFSP2; UFM1-specific protease 2 [EC:3.4.22.-]	
ID17497	K09245	no_pathway		UGA3; transcriptional activator protein UGA3	
ID17498	K20831	no_pathway		ugl; gellan tetrasaccharide unsaturated glucuronyl hydrolase [EC:3.2.1.179]	
ID17499	K18581	no_pathway		ugl; unsaturated chondroitin disaccharide hydrolase [EC:3.2.1.180]	
ID17500	K17967	no_pathway		UGO1; mitochondrial fusion and transport protein UGO1	
ID17501	K24103	no_pathway		UGT3A; UDP-glycosyltransferase [EC:2.4.1.-]	
ID17502	K22950	no_pathway		UGT71K3; acylphloroglucinol glucosyltransferase [EC:2.4.1.358]	
ID17503	K23525	no_pathway		UGT73C10_11; oleanolate 3-O-glucosyltransferase [EC:2.4.1.368]	
ID17504	K18822	no_pathway		UGT73P2; soyasapogenol B glucuronide galactosyltransferase [EC:2.4.1.272]	
ID17505	K22426	no_pathway		UGT74AC1; mogroside IE synthase [EC:2.4.1.350]	
ID17506	K23521	no_pathway		UGT74AE2; protopanaxadiol-type ginsenoside 3-O-glucosyltransferase [EC:2.4.1.364]	
ID17507	K23279	no_pathway		UGT84A13; gallate 1-beta-glucosyltransferase [EC:2.4.1.136]	
ID17508	K18823	no_pathway		UGT91H4; soyasaponin III rhamnosyltransferase [EC:2.4.1.273]	
ID17509	K23522	no_pathway		UGT94Q2; protopanaxadiol-type ginsenoside-3-O-glucoside 2''-O-glucosyltransferase [EC:2.4.1.365]	
ID17510	K23520	no_pathway		UGTPg1; ginsenoside 20-O-glucosyltransferase [EC:2.4.1.363]	
ID17511	K23524	no_pathway		UGTPg100; ginsenoside 6-O-glucosyltransferase [EC:2.4.1.367]	
ID17512	K23523	no_pathway		UGTPg101; ginsenoside F1 6-O-glucosyltransferase [EC:2.4.1.366]	
ID17513	K08877	no_pathway		"UHMK1, KIS; serine/threonine-protein kinase Kist [EC:2.7.11.1]"	
ID17514	K10638	no_pathway		"UHRF1, NP95; E3 ubiquitin-protein ligase UHRF1 [EC:2.3.2.27]"	
ID17515	K15713	no_pathway		"UHRF2, NIRF; E3 ubiquitin-protein ligase UHRF2 [EC:2.3.2.27]"	
ID17516	K16139	no_pathway		"uidB, gusB; glucuronide carrier protein"	
ID17517	K16140	no_pathway		"uidC, gusC; putative glucuronide porin"	
ID17518	K16138	no_pathway		"uidR; TetR/AcrR family transcriptional regulator, repressor for uid operon"	
ID17519	K21042	no_pathway		UL11; HCMV protein UL11	
ID17520	K21048	no_pathway		UL142; HCMV membrane glycoprotein UL142	
ID17521	K21047	no_pathway		UL144; HCMV TNF alpha-like receptor UL144	
ID17522	K21043	no_pathway		UL16; HCMV immunoevasion protein	
ID17523	K18964	no_pathway		UL30; Herpesvirus DNA polymerase catalytic subunit [EC:2.7.7.7]	
ID17524	K21044	no_pathway		UL40; HCMV protein UL40	
ID17525	K21041	no_pathway		UL7_8; HCMV CEACAM1-like protein	
ID17526	K21078	no_pathway		UL80; Betaherpesvirinae capsid scaffolding protein [EC:3.4.21.97]	
ID17527	K21045	no_pathway		UL83; Cytomegalovirus tegument protein UL83	
ID17528	K21501	no_pathway		UL9; Alphaherpesvirinae replication origin-binding protein	
ID17529	K03477	no_pathway		"ulaR; DeoR family transcriptional regulator, ulaG and ulaABCDEF operon transcriptional repressor"	
ID17530	K21358	no_pathway		ULK3; serine/threonine-protein kinase ULK3 [EC:2.7.11.1]	
ID17531	K17545	no_pathway		ULK4; serine/threonine-protein kinase ULK4 [EC:2.7.11.1]	
ID17532	K16287	no_pathway		ULP1C_D; ubiquitin-like-specific protease 1C/D [EC:3.4.22.68]	
ID17533	K08219	no_pathway		"UMF2; MFS transporter, UMF2 family, putative MFS family transporter protein"	
ID17534	K18274	no_pathway		UMOD; uromodulin	
ID17535	K23539	no_pathway		UNC119; protein unc-119	
ID17536	K19728	no_pathway		"UNC13D, MUNC13; protein unc-13 D"	
ID17537	K09328	no_pathway		UNC4; homeobox protein Unc-4	
ID17538	K21991	no_pathway		UNC45; protein unc-45	
ID17539	K24014	no_pathway		UNC79; protein unc-79	
ID17540	K24015	no_pathway		UNC80; protein unc-80	
ID17541	K23048	no_pathway		UNK; RING finger protein unkempt	
ID17542	K23047	no_pathway		UNKL; E3 ubiquitin-protein ligase UNKL [EC:2.3.2.27]	
ID17543	K17347	no_pathway		UPK1; uroplakin-1	
ID17544	K23165	no_pathway		UQCC3; ubiquinol-cytochrome-c reductase complex assembly factor 3	
ID17545	K14861	no_pathway		URB1; nucleolar pre-ribosomal-associated protein 1	
ID17546	K14862	no_pathway		URB2; nucleolar pre-ribosomal-associated protein 2	
ID17547	K17560	no_pathway		URI1; unconventional prefoldin RPB5 interactor 1	
ID17548	K23093	no_pathway		USB1; U6 snRNA phosphodiesterase [EC:3.1.4.-]	
ID17549	K06435	no_pathway		usd; required for translation of spoIIID	
ID17550	K09106	no_pathway		USF; upstream stimulatory factor	
ID17551	K21877	no_pathway		USH1C; harmonin	
ID17552	K21878	no_pathway		USH1G; Usher syndrome type-1G protein	
ID17553	K19636	no_pathway		USH2A; usherin	
ID17554	K21881	no_pathway		"USHBP1, MCC2; Usher syndrome type-1C protein-binding protein 1"	
ID17555	K18194	no_pathway		"USMG5, DAPIT; up-regulated during skeletal muscle growth protein 5"	
ID17556	K20361	no_pathway		USO1; intracellular protein transport protein USO1	
ID17557	K11842	no_pathway		USP12_46; ubiquitin carboxyl-terminal hydrolase 12/46 [EC:3.4.19.12]	
ID17558	K11843	no_pathway		"USP14, UBP6; ubiquitin carboxyl-terminal hydrolase 14 [EC:3.4.19.12]"	
ID17559	K11844	no_pathway		USP16_45; ubiquitin carboxyl-terminal hydrolase 16/45 [EC:3.4.19.12]	
ID17560	K11845	no_pathway		"USP17, DUB3; ubiquitin carboxyl-terminal hydrolase 17 [EC:3.4.19.12]"	
ID17561	K11846	no_pathway		USP18_41; ubiquitin carboxyl-terminal hydrolase 18/41 [EC:3.4.19.12]	
ID17562	K11847	no_pathway		USP19; ubiquitin carboxyl-terminal hydrolase 19 [EC:3.4.19.12]	
ID17563	K11833	no_pathway		USP2; ubiquitin carboxyl-terminal hydrolase 2 [EC:3.4.19.12]	
ID17564	K11848	no_pathway		USP20_33; ubiquitin carboxyl-terminal hydrolase 20/33 [EC:3.4.19.12]	
ID17565	K11366	no_pathway		"USP22_27_51, UBP8; ubiquitin carboxyl-terminal hydrolase 22/27/51 [EC:3.4.19.12]"	
ID17566	K11850	no_pathway		USP26_29_37; ubiquitin carboxyl-terminal hydrolase 26/29/37 [EC:3.4.19.12]	
ID17567	K21122	no_pathway		USP28; ubiquitin carboxyl-terminal hydrolase 28 [EC:3.4.19.12]	
ID17568	K11986	no_pathway		USP3; ubiquitin carboxyl-terminal hydrolase 3 [EC:3.4.19.12]	
ID17569	K11852	no_pathway		USP31; ubiquitin carboxyl-terminal hydrolase 31 [EC:3.4.19.12]	
ID17570	K11853	no_pathway		USP34; ubiquitin carboxyl-terminal hydrolase 34 [EC:3.4.19.12]	
ID17571	K11854	no_pathway		USP35_38; ubiquitin carboxyl-terminal hydrolase 35/38 [EC:3.4.19.12]	
ID17572	K11855	no_pathway		USP36_42; ubiquitin carboxyl-terminal hydrolase 36/42 [EC:3.4.19.12]	
ID17573	K11835	no_pathway		"USP4_11, UBP12; ubiquitin carboxyl-terminal hydrolase 4/11 [EC:3.4.19.12]"	
ID17574	K11869	no_pathway		USP40; ubiquitin carboxyl-terminal hydrolase 40 [EC:3.4.19.12]	
ID17575	K11856	no_pathway		USP43; ubiquitin carboxyl-terminal hydrolase 43 [EC:3.4.19.12]	
ID17576	K11834	no_pathway		USP44_49; ubiquitin carboxyl-terminal hydrolase 44/49 [EC:3.4.19.12]	
ID17577	K11857	no_pathway		USP47; ubiquitin carboxyl-terminal hydrolase 47 [EC:3.4.19.12]	
ID17578	K11858	no_pathway		USP48; ubiquitin carboxyl-terminal hydrolase 48 [EC:3.4.19.12]	
ID17579	K11836	no_pathway		"USP5_13, UBP14; ubiquitin carboxyl-terminal hydrolase 5/13 [EC:3.4.19.12]"	
ID17580	K11837	no_pathway		USP6_32; ubiquitin carboxyl-terminal hydrolase 6/32 [EC:3.4.19.12]	
ID17581	K20133	no_pathway		USP6NL; USP6 N-terminal-like protein	
ID17582	K11840	no_pathway		USP9_24; ubiquitin carboxyl-terminal hydrolase 9/24 [EC:3.4.19.12]	
ID17583	K23008	no_pathway		USPL1; SUMO-specific isopeptidase USPL1 [EC:3.4.22.-]	
ID17584	K14769	no_pathway		UTP11; U3 small nucleolar RNA-associated protein 11	
ID17585	K14772	no_pathway		UTP20; U3 small nucleolar RNA-associated protein 20	
ID17586	K14773	no_pathway		UTP23; U3 small nucleolar RNA-associated protein 23	
ID17587	K14774	no_pathway		"UTP25, DEF; U3 small nucleolar RNA-associated protein 25"	
ID17588	K14767	no_pathway		"UTP3, SAS10; U3 small nucleolar RNA-associated protein 3"	
ID17589	K14775	no_pathway		"UTP30, RSL1D1; ribosome biogenesis protein UTP30"	
ID17590	K14768	no_pathway		"UTP7, WDR46; U3 small nucleolar RNA-associated protein 7"	
ID17591	K23742	no_pathway		"UTY, KDM6C; lysine-specific demethylase 6C [EC:1.14.11.68]"	
ID17592	K13281	no_pathway		"uvsE, UVE1; UV DNA damage endonuclease [EC:3.-.-.-]"	
ID17593	K23720	no_pathway		UVSSA; UV-stimulated scaffold protein A	
ID17594	K13637	no_pathway		"uxuR; GntR family transcriptional regulator, uxu operon transcriptional repressor"	
ID17595	K04614	no_pathway		V1R; vomeronasal 1 receptor	
ID17596	K04613	no_pathway		V2R; vomeronasal 2 receptor	
ID17597	K22242	no_pathway		VAB2; biogenesis of lysosome-related organelles complex 1 subunit VAB2	
ID17598	K24101	no_pathway		vabF; L-arginine---[L-arginyl-carrier protein] ligase [EC:6.2.1.63]	
ID17599	K08332	no_pathway		VAC8; vacuolar protein 8	
ID17600	K11475	no_pathway		"vanR; GntR family transcriptional regulator, vanillate catabolism transcriptional regulator"	
ID17601	K20153	no_pathway		VAOA; vanillyl-alcohol oxidase [EC:1.1.3.38]	
ID17602	K19687	no_pathway		vapB; antitoxin VapB	
ID17603	K19686	no_pathway		vapC; ribonuclease VapC [EC:3.1.-.-]	
ID17604	K11908	no_pathway		vasH; sigma-54 dependent transcriptional regulator	
ID17605	K23355	no_pathway		VASH; tubulinyl-Tyr carboxypeptidase [EC:3.4.17.17]	
ID17606	K11909	no_pathway		vasI; type VI secretion system protein VasI	
ID17607	K11910	no_pathway		vasJ; type VI secretion system protein VasJ	
ID17608	K11911	no_pathway		vasL; type VI secretion system protein VasL	
ID17609	K18234	no_pathway		vat; virginiamycin A acetyltransferase [EC:2.3.1.-]	
ID17610	K23167	no_pathway		VAT1; synaptic vesicle membrane protein VAT-1	
ID17611	K09318	no_pathway		VAX; homeobox protein ventral anterior	
ID17612	K20206	no_pathway		VBPO; bromide peroxidase [EC:1.11.1.18]	
ID17613	K20741	no_pathway		VCATH; Autographa californica nucleopolyhedrovirus V-cath endopeptidase [EC:3.4.22.50]	
ID17614	K11861	no_pathway		"VCPIP1, VCIP135; deubiquitinating protein VCIP135 [EC:3.4.19.12]"	
ID17615	K21806	no_pathway		"VCPKMT, METTL21D; protein N-lysine methyltransferase METTL21D [EC:2.1.1.-]"	
ID17616	K17990	no_pathway		VCPO; vanadium chloroperoxidase [EC:1.11.1.10]	
ID17617	K22613	no_pathway		vCX3C; RSV chemokine CX3C homolog	
ID17618	K22419	no_pathway		VEP1; Delta4-3-oxosteroid 5beta-reductase [EC:1.3.1.3]	
ID17619	K22924	no_pathway		"vexA, tviF; Vi polysaccharide export protein VexA"	
ID17620	K22917	no_pathway		vexE; Vi polysaccharide export protein VexE	
ID17621	K18235	no_pathway		vgb; virginiamycin B lyase [EC:4.2.99.-]	
ID17622	K21536	no_pathway		VGF-1; Orthopoxvirus pro-vaccinia growth factor	
ID17623	K22279	no_pathway		VH; vicianin beta-glucosidase [EC:3.2.1.119]	
ID17624	K14068	no_pathway		"vhoA, vhtA; methanophenazine hydrogenase, large subunit [EC:1.12.98.3]"	
ID17625	K14069	no_pathway		"vhoC, vhtC; methanophenazine hydrogenase, cytochrome b subunit [EC:1.12.98.3]"	
ID17626	K14070	no_pathway		"vhoG, vhtG; methanophenazine hydrogenase [EC:1.12.98.3]"	
ID17627	K05761	no_pathway		VIL1; villin 1	
ID17628	K22623	no_pathway		vIL17; Herpesvirus interleukin 17	
ID17629	K22625	no_pathway		vIL8; Marek's disease virus interleukin 8 homolog	
ID17630	K20429	no_pathway		"vioA; dTDP-4-amino-4,6-dideoxy-D-glucose transaminase [EC:2.6.1.33]"	
ID17631	K21379	no_pathway		"vioB; dTDP-4-amino-4,6-dideoxy-D-glucose acyltransferase [EC:2.3.1.209]"	
ID17632	K20612	no_pathway		vioC; L-arginine hydroxylase [EC:1.14.11.41]	
ID17633	K20615	no_pathway		vioD; capreomycidine synthase [EC:4.2.1.145]	
ID17634	K23287	no_pathway		"VIPAS39, VPS16B; VPS33B-interacting protein in polarity and apical restriction"	
